0, tesperadesatracacao
1, 0.16666666668607
2, 2.25
2, 2.25
3, 8.0000000000582
4, 2.5999999999185
4, 2.5999999999185
5, 3.6000000000349
6, 2.8000000000466
6, 2.8000000000466
7, 2.4000000001397
7, 2.4000000001397
7, 2.4000000001397
7, 2.4000000001397
8, 8.4166666666861
8, 8.4166666666861
8, 8.4166666666861
9, 4.5
10, 4.7166666666744
10, 4.7166666666744
11, 2.9166666667443
11, 2.9166666667443
12, 3.2999999999302
13, 1.2999999998719
14, 5.5666666666511
15, 4.1500000000815
16, 0
17, 16.333333333314
18, 14.000000000058
18, 14.000000000058
16, 0
19, 2.6833333333489
19, 2.6833333333489
20, 3.016666666721
21, 5.0166666667792
22, 3.733333333279
22, 3.733333333279
23, 5.9000000000233
24, 3.7000000000116
25, 6.9000000001397
26, 4.9000000000815
26, 4.9000000000815
26, 4.9000000000815
26, 4.9000000000815
27, 6.699999999837
27, 6.699999999837
5, 3.6000000000349
28, 2.7500000000582
29, 1.9000000000815
30, 5.8833333334769
31, 7.5
31, 7.5
32, 8.6333333333605
33, 5.8999999998487
33, 5.8999999998487
34, 3.9333333334071
35, 3.2333333332208
24, 3.7000000000116
36, 4.0333333332092
37, 3.8333333332557
38, 5.4333333332324
39, 0.75
40, 25.749999999942
41, 0.083333333255723
42, 0.24999999994179
41, 0.083333333255723
16, 0
41, 0.083333333255723
41, 0.083333333255723
16, 0
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
43, 0.083333333430346
1, 0.16666666668607
16, 0
41, 0.083333333255723
1, 0.16666666668607
43, 0.083333333430346
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
16, 0
43, 0.083333333430346
44, 0.33333333337214
41, 0.083333333255723
43, 0.083333333430346
43, 0.083333333430346
43, 0.083333333430346
16, 0
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
16, 0
43, 0.083333333430346
43, 0.083333333430346
43, 0.083333333430346
43, 0.083333333430346
16, 0
41, 0.083333333255723
41, 0.083333333255723
43, 0.083333333430346
41, 0.083333333255723
41, 0.083333333255723
1, 0.16666666668607
41, 0.083333333255723
43, 0.083333333430346
41, 0.083333333255723
42, 0.24999999994179
41, 0.083333333255723
16, 0
43, 0.083333333430346
16, 0
16, 0
43, 0.083333333430346
41, 0.083333333255723
41, 0.083333333255723
43, 0.083333333430346
43, 0.083333333430346
16, 0
1, 0.16666666668607
43, 0.083333333430346
41, 0.083333333255723
45, 0.25000000011642
41, 0.083333333255723
43, 0.083333333430346
16, 0
1, 0.16666666668607
16, 0
16, 0
16, 0
1, 0.16666666668607
43, 0.083333333430346
41, 0.083333333255723
43, 0.083333333430346
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
16, 0
41, 0.083333333255723
41, 0.083333333255723
16, 0
43, 0.083333333430346
16, 0
16, 0
41, 0.083333333255723
41, 0.083333333255723
43, 0.083333333430346
41, 0.083333333255723
16, 0
16, 0
16, 0
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
16, 0
16, 0
16, 0
41, 0.083333333255723
43, 0.083333333430346
43, 0.083333333430346
41, 0.083333333255723
16, 0
43, 0.083333333430346
41, 0.083333333255723
41, 0.083333333255723
43, 0.083333333430346
43, 0.083333333430346
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
43, 0.083333333430346
1, 0.16666666668607
1, 0.16666666668607
41, 0.083333333255723
41, 0.083333333255723
43, 0.083333333430346
41, 0.083333333255723
41, 0.083333333255723
43, 0.083333333430346
41, 0.083333333255723
43, 0.083333333430346
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
43, 0.083333333430346
41, 0.083333333255723
43, 0.083333333430346
16, 0
41, 0.083333333255723
43, 0.083333333430346
46, 0.41666666662786
43, 0.083333333430346
16, 0
16, 0
16, 0
16, 0
16, 0
41, 0.083333333255723
41, 0.083333333255723
16, 0
16, 0
41, 0.083333333255723
43, 0.083333333430346
43, 0.083333333430346
43, 0.083333333430346
43, 0.083333333430346
43, 0.083333333430346
47, 0.16666666651145
41, 0.083333333255723
43, 0.083333333430346
16, 0
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
46, 0.41666666662786
43, 0.083333333430346
48, 3
43, 0.083333333430346
16, 0
16, 0
49, 0.99999999994179
43, 0.083333333430346
41, 0.083333333255723
16, 0
41, 0.083333333255723
16, 0
41, 0.083333333255723
41, 0.083333333255723
41, 0.083333333255723
43, 0.083333333430346
1, 0.16666666668607
43, 0.083333333430346
43, 0.083333333430346
16, 0
43, 0.083333333430346
16, 0
16, 0
16, 0
16, 0
41, 0.083333333255723
43, 0.083333333430346
41, 0.083333333255723
16, 0
41, 0.083333333255723
16, 0
43, 0.083333333430346
43, 0.083333333430346
41, 0.083333333255723
41, 0.083333333255723
16, 0
41, 0.083333333255723
43, 0.083333333430346
41, 0.083333333255723
43, 0.083333333430346
41, 0.083333333255723
1, 0.16666666668607
1, 0.16666666668607
43, 0.083333333430346
16, 0
41, 0.083333333255723
43, 0.083333333430346
41, 0.083333333255723
43, 0.083333333430346
43, 0.083333333430346
43, 0.083333333430346
41, 0.083333333255723
41, 0.083333333255723
